Города которые добавлены уже в админку сайта ;Название поддомена/папки; Адрес;Транспортная компания;Телефон;Почта;График работы;;;;;;;;;;;
Новочебоксарск;novocheboksarsk;429950,  Чувашская республика, г. Новочебоксарск, ул. Строителей, д.33А к.1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новочеркасск;novocherkassk;346400, Россия, Ростовская обл., г. Новочеркасск ул. Трамвайная, д. 7/9;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новошахтинск;novoshahtinsk;Новошахтинск, ул. Харьковская, 113;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новый Уренгой;novy-urengoy;Новый Уренгой, ул. Промысловая, 12;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ногинск;noginsk;Ногинск, ул. 3-го Интернационала, 169;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Норильск;norilsk;Норильск, пр-т Ленинский, 11;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ноябрьск;noyabrsk;Ноябрьск, ул. Энтузиастов, 22/1;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Обнинск;obninsk;Обнинск, ул. Гурьянова, 21, 105;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Одинцово;odincovo;143002, Россия, Московская обл., Одинцовский р-н, г. Одинцово, ул. Южная, д. 8 стр.10;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Октябрьский;oktyabrsky;452613, Республика Башкортостан, г. Октябрьский, ул. Космонавтов, д.63, корп.2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Омск;omsk;Омск, пр-т Комарова, 11, корп.1;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Орёл;orel;302042, Россия, Орловская обл., г. Орелул. Автогрейдерная, 4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Оренбург;orenburg;460505, Россия, Оренбургская область, г. Оренбург, Площадь 1-го Мая, 1а;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Орехово-Зуево;orehovo-zuevo;Орехово-Зуево, ул. Красноармейская, 15;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Орск;orsk;462403, Россия, Оренбургская обл., г. Орск, пр.Мира, 12Б (по Орскому шоссе, в районе ООО ?ОрскВодоканал?);ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Пенза;penza;440015, Россия, Пензенская обл., г. Пенза ул. Измайлова, д.13;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Первоуральск;pervouralsk;Первоуральск, улица Вайнера, 45В;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Пермь;perm;Пермь, ул. Екатерининская, 116;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Петрозаводск;petrozavodsk;185031, Республика Карелия, г. Петрозаводск, ул. Зайцева, д. 65 корп. 4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Петропавловск-Камчатский;petropavlovsk-kamchatsky;683023, Россия, Камчатский край, г. Петропавловск-Камчатский, ул. Вулканная, д. 59/3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Подольск;podolsk;142116, Россия, Московская обл., г. Подольск, ул. Лобачева, д.14;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Прокопьевск;prokopevsk;653024, Россия, Кемеровская обл.,г. Прокопьевск, ул. Гайдара, д. 45;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Псков;pskov;180006, Россия,Псковская обл., г. Псков, ул. Леона Поземского, 110 Д, 1001;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Пушкино;pushkino;Пушкино, ул. Набережная, 35, корпус 4, пом.12.;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Пятигорск;pyatigorsk;357528, Ставропольский край, г. Пятигорск, ул. Егоршина, 6;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Раменское;ramenskoe;Раменское, ул. Карла Маркса, 6;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Реутов;reutov;Реутов, ул. Октября, 24;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ростов-на-Дону;rostov-na-donu;Ростов-на-Дону, пер. Халтуринский, 99А;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Рубцовск;rubtsovsk;658219, Россия, Алтайский край, г. Рубцовск, проезд Кооперативный, д.1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Рыбинск;rybinsk;152900, Россия, Ярославская область, г. Рыбинск, Ярославский тракт, 52;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Рязань;ryazan;Рязань, пр-т Первомайский, 7;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Салават;salavat;453261, Башкортостан респ., г. Салават, ул. Уфимская, 11/1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Самара;samara;443070, Россия, Самарская обл., г. Самара, ул. Верхне-Карьерная, д. 3А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Санкт-Петербург;saint-petersburg;192012, пр-т Обуховской обороны, д. 295, лит. АС;Свой офис;8-800-333-58-45 и 8 (812) 309-79-44;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Саранск;saransk;430030, Россия, Мордовия респ., г. Саранск, Строительная ул., дом 11;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Саратов;saratov;410039, Россия, Саратовская обл., г. Саратов, Крымский проезд, 7;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Севастополь;sevastopol;299014, Россия, Республика Крым, г. Севастополь, Фиолентовское шоссе, д. 1/5;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Северодвинск;severodvinsk;164500, Россия, Архангельская обл., г. Северодвинск, Беломорский проспект, д. 3;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Северск;seversk;Северск, ул. Транспортная, 30;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Сергиев Посад;sergiev-posad;Сергиев Посад, ул. Болотная, 15;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Серпухов;serpuhov;142214, Россия, Московская обл., Серпуховский р-н, г. Серпухов, Северное шоссе, д. 2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Симферополь;simferopol;295022, Россия, Крым респ., г. Симферополь, ул. Глинки, д. 67Г;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Смоленск;smolensk;Смоленск, ул. Верхне-Сенная, 4, 116;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Сочи;sochi;Краснодонская улица, 44А;Свой офис;8-800-333-58-45 и 8 (862) 227-01-22;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ставрополь;stavropol;355035, Россия, Ставропольский край, г. Ставрополь, ул. 2-я Промышленная, 33;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Старый Оскол;stary-oskol;309508, Россия, Белгородская обл., г. Старый Оскол, ул. Заводская, 1а;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
